pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
June,rainy,summer,day,not manhattan,495449.94,1618324.56,274109.34,2222224.33,1747912.5166666666,248195.0649819135,584230.9349349237,50105
June,rainy,summer,night,manhattan,134166.43,532083.9,104201.61,809179.1,532918.7166666667,212743.33331156248,538810.100255455,43494
June,rainy,summer,night,not manhattan,104994.39,315410.88,52230.84,421621.42,216943.15,26246.533373532257,107680.57057887204,9364
June,sunny,summer,day,manhattan,4831678.65,22806085.42,4459296.8,34506556.77,27301799.266666666,13353116.911610773,23371894.54302263,1897272
June,sunny,summer,day,not manhattan,2693489.48,8700214.5,1474129.13,11945338.33,9053670.633333333,1268657.8425206176,3158918.487104054,271473
June,sunny,summer,night,manhattan,1735032.29,7155756.88,1422740.15,10895494.540000001,7588109.033333333,3097338.2717949944,7438570.59402529,590999
June,sunny,summer,night,not manhattan,1008824.45,3061095.82,508008.46,4108491.84,2325357.85,306755.76772936044,1113376.5914673633,95893
July,rainy,summer,day,manhattan,676598.83,3121152.61,599486.21,4766675.14,3624523.283333333,1782654.8181760032,3224820.8897740403,269094
July,rainy,summer,day,not manhattan,411908.18,1299934.7,212776.34,1785356.34,1197536.6833333333,177414.38531499964,469399.9330142208,41666
July,rainy,summer,night,manhattan,73596.3,294213.15,56183.62,446922.29,295592.45,120796.96164855115,297931.54365365225,24684
July,rainy,summer,night,not manhattan,70141.87,207645.13,33851.78,276668.67,145080.31666666665,16152.297389048299,67851.39401020494,5992
July,sunny,summer,day,manhattan,4350375.05,20033945.37,3829340.48,30367742.98,23055988.78333333,11443136.52953992,20783353.247582704,1728540
July,sunny,summer,day,not manhattan,2616347.97,8273979.92,1352677.88,11279765.14,7721955.766666667,1111921.8870779013,2966898.296674692,262391
July,sunny,summer,night,manhattan,1588847.7,6486305.38,1266958.58,9884460.86,6744253.366666666,2781747.8508514017,6718010.531416905,544393
July,sunny,summer,night,not manhattan,996983.76,3007605.48,484705.96,4011656.51,2222801.3166666664,283823.40974181436,1047108.1227890902,92610
August,rainy,summer,day,manhattan,689139.72,3124505.97,590895.76,4744566.25,3572242.8833333333,1745274.0917225813,3220280.2539462773,270794
August,rainy,summer,day,not manhattan,465075.42,1462183.12,233252.95,1985337.06,1393503.7833333332,183707.09231655372,499655.8349577501,45290
August,rainy,summer,night,manhattan,136984.4,547664.48,106822.61,836728.23,552838.0,225367.75123116391,569456.5700656426,46370
August,rainy,summer,night,not manhattan,113034.36,339658.45,54152.05,450937.52999999997,242291.3333333333,29267.64801611371,114299.81406727139,10385
August,sunny,summer,day,manhattan,4326774.42,20019245.33,3845596.7,30441189.62,23250807.933333334,11553195.054944495,20816442.983922366,1726115
August,sunny,summer,day,not manhattan,2706984.13,8552630.63,1363863.2,11632935.58,8136490.016666667,1147880.6084459466,2994305.038225814,271571
August,sunny,summer,night,manhattan,1439081.97,5895017.99,1150944.82,8988985.06,6186126.766666667,2553554.625326269,6123746.891785773,496150
August,sunny,summer,night,not manhattan,978156.78,2957976.73,468924.06,3933079.51,2178826.933333333,275388.1063742224,1007306.2629334505,91245
September,rainy,fall,day,manhattan,757097.09,3807666.99,735301.95,5703663.03,4807507.0,2443962.7770515103,3772346.44270484,305844
September,rainy,fall,day,not manhattan,521638.73,1691990.23,286527.59,2311507.5,1818011.9666666666,248102.01953531904,589947.501127797,50751
September,rainy,fall,night,manhattan,190434.37,771323.02,151287.89,1177634.71,790877.2166666667,324786.6947967535,790761.0028034026,64108
September,rainy,fall,night,not manhattan,213472.08,632737.76,108677.34,850762.23,448083.45,49901.3391988374,217334.3597370645,18267
September,sunny,fall,day,manhattan,4280462.84,20706680.23,4031899.71,31157367.88,25403395.333333332,12490032.445462726,20611457.06978109,1669553
September,sunny,fall,day,not manhattan,2712245.0,8746001.41,1470364.97,11964953.99,9185168.083333334,1231584.619795447,3033085.1887547793,262864
September,sunny,fall,night,manhattan,1478725.05,6154449.69,1231397.55,9364828.69,6614412.433333334,2714895.1577095254,6375997.790110246,503226
September,sunny,fall,night,not manhattan,828844.99,2529660.31,416093.87,3400336.39,1888065.7333333334,265837.005805529,934601.0468277417,81206
October,rainy,fall,day,manhattan,1269880.24,6193021.65,1232907.52,9425922.790000001,7534648.483333333,3911342.2535587866,6609488.271915416,526971
