pickup_at,weather,season,time,pickup_area,tip_amount
Thursday,sunny,fall,day,manhattan,2.513640292852386
Thursday,sunny,fall,day,not manhattan,5.504088885518183
Thursday,sunny,fall,night,manhattan,2.551662680445861
Thursday,sunny,fall,night,not manhattan,5.248345597252881
Thursday,sunny,spring,day,manhattan,2.40878516228039
Thursday,sunny,spring,day,not manhattan,5.266941837998943
Thursday,sunny,spring,night,manhattan,2.435160947503868
Thursday,sunny,spring,night,not manhattan,5.168175489338804
Thursday,sunny,summer,day,manhattan,2.363529076060943
Thursday,sunny,summer,day,not manhattan,5.10829807047929
Thursday,sunny,summer,night,manhattan,2.456988677356799
Thursday,sunny,summer,night,not manhattan,5.248634904169137
Thursday,sunny,winter,day,manhattan,2.364672931384372
Thursday,sunny,winter,day,not manhattan,5.37374343824815
Thursday,sunny,winter,night,manhattan,2.4943682679845964
Thursday,sunny,winter,night,not manhattan,5.269075235109718
Friday,rainy,fall,day,manhattan,2.3818830777002846
Friday,rainy,fall,day,not manhattan,5.613528028592927
Friday,rainy,fall,night,manhattan,2.461546183738541
Friday,rainy,fall,night,not manhattan,5.676048323001112
Friday,rainy,spring,day,manhattan,2.4049388284832576
Friday,rainy,spring,day,not manhattan,5.542543532841986
Friday,rainy,spring,night,manhattan,2.345771130050144
Friday,rainy,spring,night,not manhattan,5.4490811039441684
Friday,rainy,summer,day,manhattan,2.2766712823338358
Friday,rainy,summer,day,not manhattan,5.155221273672849
Friday,rainy,summer,night,manhattan,2.463449698040949
Friday,rainy,summer,night,not manhattan,5.392686567164179
Friday,rainy,winter,day,manhattan,2.307122390274288
Friday,rainy,winter,day,not manhattan,5.216329571632695
Friday,rainy,winter,night,manhattan,2.48318698432685
Friday,rainy,winter,night,not manhattan,5.231482963345379
Friday,sunny,fall,day,manhattan,2.443599953879857
Friday,sunny,fall,day,not manhattan,5.715082894904722
Friday,sunny,fall,night,manhattan,2.468794139316558
Friday,sunny,fall,night,not manhattan,5.153386009821336
Friday,sunny,spring,day,manhattan,2.3376691313955464
Friday,sunny,spring,day,not manhattan,5.39584947673124
Friday,sunny,spring,night,manhattan,2.3962682879176196
Friday,sunny,spring,night,not manhattan,5.171947768364049
Friday,sunny,summer,day,manhattan,2.292273101086283
Friday,sunny,summer,day,not manhattan,5.245348974523731
Friday,sunny,summer,night,manhattan,2.386385261611765
Friday,sunny,summer,night,not manhattan,5.22766985287227
Friday,sunny,winter,day,manhattan,2.3335792367358
Friday,sunny,winter,day,not manhattan,5.554657790519692
Friday,sunny,winter,night,manhattan,2.4409336065657548
Friday,sunny,winter,night,not manhattan,5.255000601612321
Saturday,rainy,fall,day,manhattan,2.2394019567803682
Saturday,rainy,fall,day,not manhattan,5.208395977974623
Saturday,rainy,fall,night,manhattan,2.4213991730203874
Saturday,rainy,fall,night,not manhattan,4.760779859484777
Saturday,rainy,spring,day,manhattan,2.176381488622751
Saturday,rainy,spring,day,not manhattan,4.934891259244795
Saturday,rainy,spring,night,manhattan,2.29329144225015
Saturday,rainy,spring,night,not manhattan,4.877465718638903
Saturday,rainy,summer,day,manhattan,2.1437807880202553
Saturday,rainy,summer,day,not manhattan,4.999253785474657
Saturday,rainy,summer,night,manhattan,2.360832230748875
Saturday,rainy,summer,night,not manhattan,5.073361976369496
Saturday,rainy,winter,day,manhattan,2.2448319071348664
Saturday,rainy,winter,day,not manhattan,5.660965876530347
Saturday,rainy,winter,night,manhattan,2.4456217869460533
Saturday,rainy,winter,night,not manhattan,6.108630024610337
Saturday,sunny,fall,day,manhattan,2.3113823204264907
Saturday,sunny,fall,day,not manhattan,5.306741398545227
Saturday,sunny,fall,night,manhattan,2.4500614538364265
Saturday,sunny,fall,night,not manhattan,4.856451612903226
Saturday,sunny,spring,day,manhattan,2.2402256071131426
Saturday,sunny,spring,day,not manhattan,5.123300768964145
Saturday,sunny,spring,night,manhattan,2.3674392063676697
Saturday,sunny,spring,night,not manhattan,4.749792360312367
Saturday,sunny,summer,day,manhattan,2.1853777975478885
Saturday,sunny,summer,day,not manhattan,5.028238870366739
Saturday,sunny,summer,night,manhattan,2.3400260793540437
Saturday,sunny,summer,night,not manhattan,4.815487224627683
Saturday,sunny,winter,day,manhattan,2.2107343507321637
Saturday,sunny,winter,day,not manhattan,5.00888610842945
Saturday,sunny,winter,night,manhattan,2.406679338449257
Saturday,sunny,winter,night,not manhattan,4.754527436472597
Sunday,rainy,fall,day,manhattan,2.344351880406659
Sunday,rainy,fall,day,not manhattan,6.022521620271798
Sunday,rainy,fall,night,manhattan,2.2245019808902353
Sunday,rainy,fall,night,not manhattan,5.733295150820924
Sunday,rainy,spring,day,manhattan,2.2215570133247273
Sunday,rainy,spring,day,not manhattan,5.766535138921317
Sunday,rainy,spring,night,manhattan,2.311820567141552
Sunday,rainy,spring,night,not manhattan,5.081573657365736
Sunday,rainy,summer,day,manhattan,2.3196660319577407
Sunday,rainy,summer,day,not manhattan,5.765331394047886
Sunday,rainy,summer,night,manhattan,2.3144387480878157
Sunday,rainy,summer,night,not manhattan,5.985933492718974
Sunday,rainy,winter,day,manhattan,2.2055724356207738
Sunday,rainy,winter,day,not manhattan,5.629737613212573
Sunday,rainy,winter,night,manhattan,2.1442737300704486
Sunday,rainy,winter,night,not manhattan,6.060939310765477
Sunday,sunny,fall,day,manhattan,2.3708257836005795
Sunday,sunny,fall,day,not manhattan,5.798995902337143
Sunday,sunny,fall,night,manhattan,2.4122906659388645
Sunday,sunny,fall,night,not manhattan,5.346088760806916
Sunday,sunny,spring,day,manhattan,2.29164842649975
Sunday,sunny,spring,day,not manhattan,5.798063183037448
Sunday,sunny,spring,night,manhattan,2.3103201487727123
Sunday,sunny,spring,night,not manhattan,5.722588468019635
Sunday,sunny,summer,day,manhattan,2.2511319545781143
Sunday,sunny,summer,day,not manhattan,5.615540208747028
Sunday,sunny,summer,night,manhattan,2.3007196458859056
Sunday,sunny,summer,night,not manhattan,5.391930855833416
Sunday,sunny,winter,day,manhattan,2.22455063736981
Sunday,sunny,winter,day,not manhattan,5.548873951833073
Sunday,sunny,winter,night,manhattan,2.3451405572990245
Sunday,sunny,winter,night,not manhattan,5.333101280108342
