DOLocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
3,rainy,winter,night,not manhattan,201.05,564.8,58.36,756.76,336.25,14
3,sunny,fall,day,manhattan,1040.97,3247.5,382.33,3923.08,3138.1,73
3,sunny,fall,day,not manhattan,3388.73,9609.5,760.51,12219.71,7670.15,222
3,sunny,fall,night,manhattan,439.33,1321.0,169.29999999999998,1619.2,1044.8666666666666,32
3,sunny,fall,night,not manhattan,1351.16,3814.0,423.48,4954.38,2233.633333333333,85
3,sunny,spring,day,manhattan,920.36,2873.0,443.99,3617.64,2884.866666666667,67
3,sunny,spring,day,not manhattan,3523.2,9887.5,740.18,12509.2,7812.166666666667,224
3,sunny,spring,night,manhattan,699.64,2007.0,259.19,2456.79,1498.5833333333333,50
3,sunny,spring,night,not manhattan,1582.64,4349.0,381.76,5604.11,2544.3,100
3,sunny,summer,day,manhattan,1091.62,3281.5,458.84000000000003,4063.44,3057.9833333333336,77
3,sunny,summer,day,not manhattan,4836.77,14001.5,1080.39,17698.47,11706.550000000001,309
3,sunny,summer,night,manhattan,738.82,2196.0,202.43,2591.93,1787.3166666666666,53
3,sunny,summer,night,not manhattan,1913.8899999999999,5308.0,418.78,6717.83,3266.5666666666666,114
3,sunny,winter,day,manhattan,849.84,2648.6,370.4,3319.0499999999997,2356.35,66
3,sunny,winter,day,not manhattan,3126.21,9413.9,773.96,12006.960000000001,6434.533333333334,205
3,sunny,winter,night,manhattan,668.14,2195.2,153.36,2532.7599999999998,1594.45,47
3,sunny,winter,night,not manhattan,1159.09,3392.9,200.6,4223.7,1842.6666666666667,68
4,rainy,fall,day,manhattan,9152.39,43783.5,8202.09,65641.74,54597.933333333334,3706
4,rainy,fall,day,not manhattan,4858.07,14613.45,2562.72,19844.27,14962.800000000001,373
4,rainy,fall,night,manhattan,4444.41,20392.57,4106.72,31940.14,23344.916666666668,1956
4,rainy,fall,night,not manhattan,2556.14,7547.0,1363.49,10019.34,5098.583333333333,204
4,rainy,spring,day,manhattan,11271.53,52783.5,9724.87,79349.78,63553.03333333333,4621
4,rainy,spring,day,not manhattan,3977.47,12103.5,2302.99,16765.29,12834.2,323
4,rainy,spring,night,manhattan,5621.61,26094.8,5399.55,41298.700000000004,29756.083333333332,2581
4,rainy,spring,night,not manhattan,2319.04,6913.5,1312.76,9346.32,5098.5,194
4,rainy,summer,day,manhattan,7610.8,34708.5,6167.94,52092.24,41346.53333333333,2996
4,rainy,summer,day,not manhattan,4155.39,12500.0,2159.01,17007.11,12556.883333333333,319
4,rainy,summer,night,manhattan,1865.85,8321.5,1728.51,13200.710000000001,9120.183333333332,829
4,rainy,summer,night,not manhattan,989.38,2893.0,567.92,3891.22,1970.6166666666668,77
4,rainy,winter,day,manhattan,9763.61,47917.65,9136.13,72592.23,56382.23333333334,4094
4,rainy,winter,day,not manhattan,4360.18,13423.3,2442.31,18347.51,12166.95,335
4,rainy,winter,night,manhattan,3464.09,16583.1,3401.6,26325.25,17801.883333333335,1603
4,rainy,winter,night,not manhattan,1347.93,4154.7,783.74,5526.84,2709.4,105
4,sunny,fall,day,manhattan,43513.31,204061.68,37672.25,303976.48,252282.18333333335,16840
4,sunny,fall,day,not manhattan,20240.2,61272.27,11511.06,84864.09,63796.36666666667,1595
4,sunny,fall,night,manhattan,24526.79,114723.7,23397.3,179527.25,133564.56666666668,10887
4,sunny,fall,night,not manhattan,9732.82,29333.86,5227.01,39309.49,22452.433333333334,883
4,sunny,spring,day,manhattan,49471.7,228138.71,41170.18,340735.99,273340.93333333335,19292
4,sunny,spring,day,not manhattan,21147.46,63905.5,11732.48,88274.98,65278.53333333333,1695
4,sunny,spring,night,manhattan,24436.46,111729.04,22530.18,175425.92,125397.35,10839
4,sunny,spring,night,not manhattan,9922.16,29693.0,5503.76,39930.38,21791.416666666668,872
4,sunny,summer,day,manhattan,47224.22,213633.3,38794.21,319566.11,252391.96666666667,18142
