pickup_at,weather,season,time,pickup_area,trip_distance
Thursday,sunny,fall,day,not manhattan,9.811126919722422
Thursday,sunny,fall,night,manhattan,2.973050575599456
Thursday,sunny,fall,night,not manhattan,10.073601422614667
Thursday,sunny,spring,day,manhattan,2.455957017316484
Thursday,sunny,spring,day,not manhattan,9.396615202003137
Thursday,sunny,spring,night,manhattan,2.9231712831519556
Thursday,sunny,spring,night,not manhattan,9.997136611286741
Thursday,sunny,summer,day,manhattan,2.470782234527991
Thursday,sunny,summer,day,not manhattan,9.506740267539318
Thursday,sunny,summer,night,manhattan,2.9314040494609754
Thursday,sunny,summer,night,not manhattan,10.486529095040506
Thursday,sunny,winter,day,manhattan,2.3091528304589906
Thursday,sunny,winter,day,not manhattan,9.331371213951547
Thursday,sunny,winter,night,manhattan,2.864598947061632
Thursday,sunny,winter,night,not manhattan,9.796164824286421
Friday,rainy,fall,day,manhattan,2.39429267060524
Friday,rainy,fall,day,not manhattan,9.948022949586155
Friday,rainy,fall,night,manhattan,2.713741530490235
Friday,rainy,fall,night,not manhattan,10.429464314099507
Friday,rainy,spring,day,manhattan,2.4336837885386324
Friday,rainy,spring,day,not manhattan,9.749429011095813
Friday,rainy,spring,night,manhattan,2.7648216362561726
Friday,rainy,spring,night,not manhattan,10.61618800888231
Friday,rainy,summer,day,manhattan,2.484621128639369
Friday,rainy,summer,day,not manhattan,9.78657590030419
Friday,rainy,summer,night,manhattan,3.2772941523051995
Friday,rainy,summer,night,not manhattan,11.002757266300078
Friday,rainy,winter,day,manhattan,2.2100687294843886
Friday,rainy,winter,day,not manhattan,9.404456594640306
Friday,rainy,winter,night,manhattan,2.89006362039829
Friday,rainy,winter,night,not manhattan,10.052501290655654
Friday,sunny,fall,day,manhattan,2.538816545601291
Friday,sunny,fall,day,not manhattan,10.139844041999083
Friday,sunny,fall,night,manhattan,2.8628150421170164
Friday,sunny,fall,night,not manhattan,10.02117803782259
Friday,sunny,spring,day,manhattan,2.488243909386184
Friday,sunny,spring,day,not manhattan,9.748505129917955
Friday,sunny,spring,night,manhattan,2.824627116111756
Friday,sunny,spring,night,not manhattan,9.876917925874167
