pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
Tuesday,rainy,summer,day,manhattan,252880.62,1193496.37,239561.45,1876016.29,1416098.4833333334,725311.7269647814,1310697.4195180307,107080
Tuesday,rainy,summer,day,not manhattan,162437.44,509466.92,85736.28,710932.24,473249.3,73440.16106899925,193260.01524048045,16788
Tuesday,rainy,summer,night,manhattan,83863.59,342912.94,68954.36,529495.9400000001,354763.6,151173.49837101097,378531.98384497565,30268
Tuesday,rainy,summer,night,not manhattan,87288.22,259514.86,41689.73,345536.52999999997,186707.75,21725.07456876745,87896.59127687413,7858
Tuesday,rainy,winter,day,manhattan,195516.94,1037417.21,213441.37,1604708.1300000001,1364223.35,738790.0529499484,1112310.7639250353,87121
Tuesday,rainy,winter,day,not manhattan,121213.74,396712.39,71500.26,558155.92,424998.7,65647.96694379732,155641.16834323303,12737
Tuesday,rainy,winter,night,manhattan,66141.45,278213.43,58610.38,431438.91000000003,299147.2166666667,130803.5305015996,317344.11810102675,24350
Tuesday,rainy,winter,night,not manhattan,54084.64,162667.27,29090.22,222058.31,119064.59999999999,16114.279728999225,64832.268634134714,5251
Tuesday,sunny,fall,day,manhattan,1712664.58,8642001.51,1732115.26,13135945.08,10831463.666666666,5684717.163458741,9091570.35442606,717930
Tuesday,sunny,fall,day,not manhattan,1066068.04,3458019.98,608690.36,4810482.91,3510811.216666667,532346.552354461,1311759.8434196154,109534
Tuesday,sunny,fall,night,manhattan,446485.82,1828023.77,383526.86,2822858.7,1904841.0,788315.9984637797,2037856.5606923704,155701
Tuesday,sunny,fall,night,not manhattan,342935.9,1029580.43,176777.42,1396412.02,721306.1666666666,96907.9247056015,391868.40867507184,32763
Tuesday,sunny,spring,day,manhattan,2503090.03,12310754.18,2454537.9,18815022.35,15087336.466666667,7782491.742218606,13233722.11269885,1060071
Tuesday,sunny,spring,day,not manhattan,1353335.42,4396025.14,752862.61,6098928.87,4541014.783333333,702026.3538122787,1698407.5719846352,144594
Tuesday,sunny,spring,night,manhattan,545030.57,2184318.79,446695.95,3364202.75,2203386.95,894852.1838555582,2389119.7057143366,187396
Tuesday,sunny,spring,night,not manhattan,421882.52,1258601.76,213905.93,1698546.22,877072.75,114533.81741207938,474721.87552711915,40121
Tuesday,sunny,summer,day,manhattan,2104186.48,10142176.72,1986217.54,15478510.94,12196152.766666666,6299252.843834768,10799961.950410485,878509
Tuesday,sunny,summer,day,not manhattan,1195956.41,3848197.45,636496.9,5289834.49,3821898.4499999997,582052.3730614042,1427497.2627870194,125147
Tuesday,sunny,summer,night,manhattan,489767.09,1975536.64,397684.23,3030613.0300000003,2013455.4666666666,821537.1542770405,2106843.3380188807,166779
Tuesday,sunny,summer,night,not manhattan,385365.14,1155520.24,186663.96,1543018.88,828598.1833333333,104277.54879075183,403837.80928289,35666
Tuesday,sunny,winter,day,manhattan,1642314.71,8626080.96,1694996.28,13231571.73,9804283.333333334,5359598.64010981,9092169.475444483,736821
Tuesday,sunny,winter,day,not manhattan,834012.76,2920393.02,474826.88,4011991.7,2591637.1333333333,431112.2052109144,1037902.5583212953,91674
Tuesday,sunny,winter,night,manhattan,342789.24,1493175.26,297612.74,2299962.34,1380664.6833333333,591195.2140187067,1524825.0691283168,121934
Tuesday,sunny,winter,night,not manhattan,260366.07,849918.77,135753.95,1134322.06,523477.6333333333,70174.60262439483,281510.80488906085,24986
Wednesday,rainy,fall,day,manhattan,525409.4,2733674.06,548352.42,4165084.45,3488837.5833333335,1898278.0217343979,2883236.4363516127,228349
Wednesday,rainy,fall,day,not manhattan,311456.18,1023112.78,174376.27,1422034.21,1057919.5666666667,169975.64339638525,383890.761179405,32886
Wednesday,rainy,fall,night,manhattan,57312.86,230698.35,46488.52,352281.94,238837.38333333333,94440.46818860972,241383.43064116602,18986
Wednesday,rainy,fall,night,not manhattan,43468.79,130741.96,21495.5,175997.36,95853.81666666667,12373.45645313544,47803.5112737753,4188
Wednesday,rainy,spring,day,manhattan,358846.22,1836151.23,368774.75,2787769.86,2294118.3,1266867.8322896294,2026593.108872976,160177
Wednesday,rainy,spring,day,not manhattan,175241.92,574690.63,100818.37,797449.65,607018.6166666667,102210.69681906563,235933.9654436742,19625
Wednesday,rainy,spring,night,manhattan,76743.53,310040.22,65351.36,482721.79,312529.4166666667,133640.9785524634,357158.2527810825,27397
Wednesday,rainy,spring,night,not manhattan,49434.14,148587.0,25316.62,201923.59,104884.08333333333,14944.75852573526,58689.86733860908,4924
Wednesday,rainy,summer,day,manhattan,131887.98,677787.58,136537.42,1036321.3,882093.4333333333,452612.5778290744,699999.7053920861,55445
Wednesday,rainy,summer,day,not manhattan,67872.68,228828.4,38836.01,316387.54,249591.88333333333,41534.292239123024,85407.31470482185,7310
Wednesday,rainy,summer,night,manhattan,68831.97,271233.29,52562.02,411682.12,271083.55,106445.8926818899,273102.23836273764,22309
Wednesday,rainy,summer,night,not manhattan,51223.1,154402.49,24223.74,204578.71,104376.91666666667,13033.26100404271,51691.91076077854,4733
Wednesday,rainy,winter,day,manhattan,80847.32,391018.16,76654.41,588864.36,464113.8333333333,247745.57933872365,437043.4936635217,35191
Wednesday,rainy,winter,day,not manhattan,40067.65,132240.53,21696.36,179634.02,141289.55,21379.0997509934,50005.481588436545,4426
Wednesday,rainy,winter,night,manhattan,17854.47,67065.61,13170.91,101413.08,62557.5,22795.38092349931,62960.90296014179,5153
Wednesday,rainy,winter,night,not manhattan,13497.93,40154.05,6756.87,53287.33,27996.399999999998,3077.750980221649,13689.338896706395,1173
Wednesday,sunny,fall,day,manhattan,1891505.61,9737992.91,1950295.73,14704727.9,12491087.0,6481344.791910212,9932778.611037346,782665
Wednesday,sunny,fall,day,not manhattan,1102363.24,3638841.56,636015.38,5046649.63,3956890.4833333334,585338.6849224088,1345588.2080088917,112748
Wednesday,sunny,fall,night,manhattan,626682.83,2578503.85,536994.3,3956323.09,2726305.433333333,1108703.1223496043,2794825.4886921784,213753
Wednesday,sunny,fall,night,not manhattan,399413.09,1211838.38,211192.7,1648158.72,884632.95,124052.06876461595,470938.67551818024,39010
Wednesday,sunny,spring,day,manhattan,2230588.74,10982220.33,2205690.52,16794922.26,13559103.25,6938654.289344143,11694667.422239691,933409
Wednesday,sunny,spring,day,not manhattan,1139112.1,3730953.73,638484.67,5185535.09,3939824.4166666665,622532.920295025,1451383.0180795905,123335
Wednesday,sunny,spring,night,manhattan,601794.1,2423817.58,499841.16,3734051.39,2466812.8,1002152.2689748858,2659456.347874095,206769
Wednesday,sunny,spring,night,not manhattan,363240.21,1095351.57,185811.09,1486290.82,790165.3833333333,111283.09726094398,430658.43988095404,36302
Wednesday,sunny,summer,day,manhattan,2435943.5,11878782.71,2341538.38,18100793.830000002,14532856.616666667,7454900.573505584,12474814.245541768,1009666
Wednesday,sunny,summer,day,not manhattan,1334651.61,4330397.2,712176.21,5955644.4799999995,4427693.116666666,686552.1694852513,1604356.8655984367,141018
Wednesday,sunny,summer,night,manhattan,640003.34,2605317.36,528925.07,3994255.47,2711673.4,1104433.336914862,2793119.426647397,218851
Wednesday,sunny,summer,night,not manhattan,406520.1,1229005.58,200569.67,1646821.24,906939.35,120609.12073287916,447085.2012443345,38846
