pickup_at,weather,season,time,pickup_area,duration
Friday,rainy,winter,day,manhattan,285758
Friday,rainy,winter,day,not manhattan,34293
Friday,rainy,winter,night,manhattan,60358
Friday,rainy,winter,night,not manhattan,7748
Friday,sunny,fall,day,manhattan,867300
Friday,sunny,fall,day,not manhattan,133241
Friday,sunny,fall,night,manhattan,263314
Friday,sunny,fall,night,not manhattan,38284
Friday,sunny,spring,day,manhattan,870684
Friday,sunny,spring,day,not manhattan,116766
Friday,sunny,spring,night,manhattan,261033
Friday,sunny,spring,night,not manhattan,34347
Friday,sunny,summer,day,manhattan,768492
Friday,sunny,summer,day,not manhattan,115166
Friday,sunny,summer,night,manhattan,279135
Friday,sunny,summer,night,not manhattan,42684
Friday,sunny,winter,day,manhattan,619864
Friday,sunny,winter,day,not manhattan,82318
Friday,sunny,winter,night,manhattan,195682
Friday,sunny,winter,night,not manhattan,24933
Saturday,rainy,fall,day,manhattan,56317
Saturday,rainy,fall,day,not manhattan,8354
Saturday,rainy,fall,night,manhattan,41839
Saturday,rainy,fall,night,not manhattan,4270
Saturday,rainy,spring,day,manhattan,331407
Saturday,rainy,spring,day,not manhattan,40969
Saturday,rainy,spring,night,manhattan,83550
Saturday,rainy,spring,night,not manhattan,9845
Saturday,rainy,summer,day,manhattan,78399
Saturday,rainy,summer,day,not manhattan,11029
Saturday,rainy,summer,night,manhattan,7558
Saturday,rainy,summer,night,not manhattan,931
Saturday,rainy,winter,day,manhattan,137662
Saturday,rainy,winter,day,not manhattan,19195
Saturday,rainy,winter,night,manhattan,30734
Saturday,rainy,winter,night,not manhattan,4876
Saturday,sunny,fall,day,manhattan,784261
Saturday,sunny,fall,day,not manhattan,112045
Saturday,sunny,fall,night,manhattan,321054
Saturday,sunny,fall,night,not manhattan,36518
Saturday,sunny,spring,day,manhattan,602153
Saturday,sunny,spring,day,not manhattan,77897
Saturday,sunny,spring,night,manhattan,300895
Saturday,sunny,spring,night,not manhattan,33038
Saturday,sunny,summer,day,manhattan,719380
Saturday,sunny,summer,day,not manhattan,101980
Saturday,sunny,summer,night,manhattan,335131
Saturday,sunny,summer,night,not manhattan,42034
Saturday,sunny,winter,day,manhattan,676693
Saturday,sunny,winter,day,not manhattan,78724
Saturday,sunny,winter,night,manhattan,310664
Saturday,sunny,winter,night,not manhattan,29869
Sunday,rainy,fall,day,manhattan,191315
Sunday,rainy,fall,day,not manhattan,38043
Sunday,rainy,fall,night,manhattan,42910
Sunday,rainy,fall,night,not manhattan,10476
Sunday,rainy,spring,day,manhattan,161129
Sunday,rainy,spring,day,not manhattan,25698
Sunday,rainy,spring,night,manhattan,51451
Sunday,rainy,spring,night,not manhattan,6666
Sunday,rainy,summer,day,manhattan,113963
Sunday,rainy,summer,day,not manhattan,22345
Sunday,rainy,summer,night,manhattan,24187
Sunday,rainy,summer,night,not manhattan,4601
Sunday,rainy,winter,day,manhattan,139020
Sunday,rainy,winter,day,not manhattan,22524
Sunday,rainy,winter,night,manhattan,21576
Sunday,rainy,winter,night,not manhattan,6558
