PULocationID,weather,season,time,pickup_area,tip_amount
11,rainy,winter,night,not manhattan,4.73
11,sunny,fall,day,not manhattan,1.1272727272727272
11,sunny,fall,night,not manhattan,4.053333333333334
11,sunny,spring,day,not manhattan,5.752
11,sunny,spring,night,not manhattan,0.0
11,sunny,summer,day,not manhattan,4.952222222222222
11,sunny,summer,night,not manhattan,3.4
11,sunny,winter,day,not manhattan,5.790909090909091
11,sunny,winter,night,not manhattan,5.635555555555555
12,rainy,fall,day,manhattan,2.976995412844037
12,rainy,fall,night,manhattan,5.87
12,rainy,spring,day,manhattan,2.6065849387040276
12,rainy,spring,night,manhattan,3.4745454545454546
12,rainy,summer,day,manhattan,2.4935424836601308
12,rainy,summer,night,manhattan,7.624545454545455
12,rainy,winter,day,manhattan,2.599016393442623
12,rainy,winter,night,manhattan,3.148823529411765
12,sunny,fall,day,manhattan,2.6854298790454396
12,sunny,fall,night,manhattan,3.547847222222222
12,sunny,spring,day,manhattan,2.604292497625831
12,sunny,spring,night,manhattan,3.122941176470588
12,sunny,summer,day,manhattan,2.5041867469879517
12,sunny,summer,night,manhattan,3.0084674329501917
12,sunny,winter,day,manhattan,2.7430230326295586
12,sunny,winter,night,manhattan,3.332054794520548
13,rainy,fall,day,manhattan,3.4250083622796863
13,rainy,fall,night,manhattan,3.464183381088825
13,rainy,spring,day,manhattan,3.258726704608861
13,rainy,spring,night,manhattan,3.428185654008439
13,rainy,summer,day,manhattan,3.2509712181148545
13,rainy,summer,night,manhattan,3.51195652173913
13,rainy,winter,day,manhattan,3.2926530272787757
13,rainy,winter,night,manhattan,3.514882629107981
13,sunny,fall,day,manhattan,3.427780046469056
13,sunny,fall,night,manhattan,3.539067587567834
13,sunny,spring,day,manhattan,3.3448775290424577
13,sunny,spring,night,manhattan,3.4713522012578615
13,sunny,summer,day,manhattan,3.2223974339847827
13,sunny,summer,night,manhattan,3.439141274238227
13,sunny,winter,day,manhattan,3.2685692820278303
13,sunny,winter,night,manhattan,3.3891581632653063
14,rainy,fall,day,not manhattan,4.4660714285714285
14,rainy,fall,night,not manhattan,1.4175
14,rainy,spring,day,not manhattan,2.513125
14,rainy,spring,night,not manhattan,0.0
14,rainy,summer,day,not manhattan,3.524666666666667
14,rainy,summer,night,not manhattan,7.135714285714286
14,rainy,winter,day,not manhattan,3.8475
14,rainy,winter,night,not manhattan,11.697999999999999
14,sunny,fall,day,not manhattan,5.28475
14,sunny,fall,night,not manhattan,4.316470588235294
14,sunny,spring,day,not manhattan,5.883
14,sunny,spring,night,not manhattan,2.4753846153846153
14,sunny,summer,day,not manhattan,5.7747761194029845
14,sunny,summer,night,not manhattan,2.547142857142857
14,sunny,winter,day,not manhattan,3.1548936170212767
14,sunny,winter,night,not manhattan,3.5638095238095238
15,rainy,fall,day,not manhattan,0.0
15,rainy,fall,night,not manhattan,0.0
15,rainy,spring,day,not manhattan,0.0
15,rainy,summer,day,not manhattan,5.725
15,rainy,winter,day,not manhattan,0.0
15,rainy,winter,night,not manhattan,15.61
15,sunny,fall,day,not manhattan,0.8583333333333334
15,sunny,fall,night,not manhattan,0.0
15,sunny,spring,day,not manhattan,9.392
15,sunny,spring,night,not manhattan,2.5
15,sunny,summer,day,not manhattan,9.625
15,sunny,summer,night,not manhattan,5.166666666666667
15,sunny,winter,day,not manhattan,3.0499999999999994
16,rainy,fall,night,not manhattan,0.0
16,rainy,spring,day,not manhattan,4.453333333333333
16,rainy,spring,night,not manhattan,2.85
16,rainy,summer,day,not manhattan,15.71
16,rainy,winter,night,not manhattan,0.0
16,sunny,fall,day,not manhattan,5.566666666666666
16,sunny,fall,night,not manhattan,1.661
16,sunny,spring,day,not manhattan,1.7425
16,sunny,spring,night,not manhattan,0.69
16,sunny,summer,day,not manhattan,0.96125
16,sunny,summer,night,not manhattan,3.9642857142857144
16,sunny,winter,day,not manhattan,0.14285714285714285
16,sunny,winter,night,not manhattan,9.985
17,rainy,fall,day,not manhattan,2.503611111111111
17,rainy,fall,night,not manhattan,1.4088461538461539
17,rainy,spring,day,not manhattan,2.11
17,rainy,spring,night,not manhattan,1.9235135135135135
17,rainy,summer,day,not manhattan,1.511
17,rainy,summer,night,not manhattan,2.09125
17,rainy,winter,day,not manhattan,3.0645714285714285
17,rainy,winter,night,not manhattan,2.393913043478261
17,sunny,fall,day,not manhattan,1.747245508982036
17,sunny,fall,night,not manhattan,2.066381578947368
17,sunny,spring,day,not manhattan,1.348806818181818
17,sunny,spring,night,not manhattan,1.786723163841808
17,sunny,summer,day,not manhattan,1.794
17,sunny,summer,night,not manhattan,2.0077639751552794
17,sunny,winter,day,not manhattan,1.46328
17,sunny,winter,night,not manhattan,1.306923076923077
18,rainy,fall,day,not manhattan,0.0
18,rainy,fall,night,not manhattan,0.0
18,rainy,spring,day,not manhattan,1.3433333333333333
18,rainy,spring,night,not manhattan,0.0
18,rainy,summer,day,not manhattan,0.0
18,rainy,summer,night,not manhattan,0.0
18,rainy,winter,day,not manhattan,0.16
18,rainy,winter,night,not manhattan,1.13
18,sunny,fall,day,not manhattan,2.106153846153846
18,sunny,fall,night,not manhattan,0.7
18,sunny,spring,day,not manhattan,0.6938235294117647
18,sunny,spring,night,not manhattan,0.121875
18,sunny,summer,day,not manhattan,0.3684210526315789
18,sunny,summer,night,not manhattan,1.2738461538461539
18,sunny,winter,day,not manhattan,1.1171052631578948
18,sunny,winter,night,not manhattan,1.8546666666666667
19,rainy,fall,day,not manhattan,0.0
19,rainy,spring,day,not manhattan,0.0
19,rainy,summer,day,not manhattan,20.0
19,rainy,summer,night,not manhattan,0.0
19,rainy,winter,day,not manhattan,0.0
19,sunny,fall,day,not manhattan,1.17125
19,sunny,fall,night,not manhattan,7.4399999999999995
19,sunny,spring,day,not manhattan,1.5966666666666667
19,sunny,spring,night,not manhattan,5.296666666666667
19,sunny,summer,day,not manhattan,1.9666666666666668
19,sunny,summer,night,not manhattan,0.0
19,sunny,winter,day,not manhattan,2.6156
19,sunny,winter,night,not manhattan,6.702
20,rainy,fall,day,not manhattan,5.9975
20,rainy,fall,night,not manhattan,0.0
20,rainy,spring,day,not manhattan,2.29
20,rainy,summer,day,not manhattan,3.293333333333333
20,rainy,winter,day,not manhattan,0.0
20,rainy,winter,night,not manhattan,0.0
20,sunny,fall,day,not manhattan,0.13333333333333333
20,sunny,fall,night,not manhattan,3.0125
20,sunny,spring,day,not manhattan,2.1566666666666667
20,sunny,spring,night,not manhattan,2.15
20,sunny,summer,day,not manhattan,3.0243478260869567
20,sunny,summer,night,not manhattan,0.27375
20,sunny,winter,day,not manhattan,2.7023809523809526
20,sunny,winter,night,not manhattan,2.367142857142857
21,rainy,spring,day,not manhattan,18.5
21,rainy,summer,day,not manhattan,4.253333333333333
21,rainy,summer,night,not manhattan,6.5200000000000005
21,rainy,winter,day,not manhattan,0.0
21,sunny,fall,day,not manhattan,4.464615384615384
21,sunny,fall,night,not manhattan,0.0
21,sunny,spring,day,not manhattan,3.419090909090909
21,sunny,spring,night,not manhattan,4.642
21,sunny,summer,day,not manhattan,13.37
21,sunny,summer,night,not manhattan,2.57625
21,sunny,winter,day,not manhattan,3.2939999999999996
21,sunny,winter,night,not manhattan,0.0
22,rainy,fall,day,not manhattan,0.22000000000000003
22,rainy,spring,day,not manhattan,0.0
22,rainy,spring,night,not manhattan,0.9733333333333333
22,rainy,summer,day,not manhattan,10.26
22,rainy,winter,day,not manhattan,1.2966666666666666
22,rainy,winter,night,not manhattan,10.0
22,sunny,fall,day,not manhattan,2.964615384615385
22,sunny,fall,night,not manhattan,3.0516666666666663
22,sunny,spring,day,not manhattan,3.4058333333333333
22,sunny,spring,night,not manhattan,3.1399999999999997
22,sunny,summer,day,not manhattan,3.125
22,sunny,summer,night,not manhattan,4.215714285714285
22,sunny,winter,day,not manhattan,3.9966666666666666
22,sunny,winter,night,not manhattan,3.5749999999999997
23,rainy,fall,day,not manhattan,0.0
23,rainy,spring,day,not manhattan,3.83
23,rainy,winter,day,not manhattan,0.0
23,sunny,fall,day,not manhattan,22.16
23,sunny,fall,night,not manhattan,0.0
23,sunny,spring,day,not manhattan,22.4825
23,sunny,spring,night,not manhattan,0.0
23,sunny,summer,day,not manhattan,0.0
23,sunny,summer,night,not manhattan,0.0
23,sunny,winter,day,not manhattan,3.0
23,sunny,winter,night,not manhattan,0.0
24,rainy,fall,day,manhattan,2.346515298688684
