pickup_at,weather,season,time,pickup_area,duration
Thursday,sunny,fall,day,not manhattan,2177.098320124379
Thursday,sunny,fall,night,manhattan,800.6388037276918
Thursday,sunny,fall,night,not manhattan,1419.6805248957567
Thursday,sunny,spring,day,manhattan,892.039978850446
Thursday,sunny,spring,day,not manhattan,2020.3252497422434
Thursday,sunny,spring,night,manhattan,726.7877180826956
Thursday,sunny,spring,night,not manhattan,1336.3512477298716
Thursday,sunny,summer,day,manhattan,875.3380105891796
Thursday,sunny,summer,day,not manhattan,1956.9611310803402
Thursday,sunny,summer,night,manhattan,767.5933523781721
Thursday,sunny,summer,night,not manhattan,1435.9287196206283
Thursday,sunny,winter,day,manhattan,840.4027264874879
Thursday,sunny,winter,day,not manhattan,1893.961760636078
Thursday,sunny,winter,night,manhattan,718.8174224713666
Thursday,sunny,winter,night,not manhattan,1277.3222653027553
Friday,rainy,fall,day,manhattan,911.9416511135123
Friday,rainy,fall,day,not manhattan,2119.1026147479306
Friday,rainy,fall,night,manhattan,817.9030739338382
Friday,rainy,fall,night,not manhattan,1466.7760292481323
Friday,rainy,spring,day,manhattan,902.1253597900384
Friday,rainy,spring,day,not manhattan,2325.5250668178505
Friday,rainy,spring,night,manhattan,754.9475109153655
Friday,rainy,spring,night,not manhattan,1423.4236015649783
Friday,rainy,summer,day,manhattan,859.4619171209837
Friday,rainy,summer,day,not manhattan,2082.487439897949
Friday,rainy,summer,night,manhattan,730.688319340109
Friday,rainy,summer,night,not manhattan,1270.9206598586018
Friday,rainy,winter,day,manhattan,810.7015201674144
Friday,rainy,winter,day,not manhattan,1890.1001953751495
Friday,rainy,winter,night,manhattan,743.8033235030982
Friday,rainy,winter,night,not manhattan,1375.726510067114
Friday,sunny,fall,day,manhattan,920.8025400668743
Friday,sunny,fall,day,not manhattan,2226.0913682725286
Friday,sunny,fall,night,manhattan,812.0217952710452
Friday,sunny,fall,night,not manhattan,1424.6582384285864
Friday,sunny,spring,day,manhattan,843.4375984857882
Friday,sunny,spring,day,not manhattan,2027.781391843516
Friday,sunny,spring,night,manhattan,754.5317526902729
Friday,sunny,spring,night,not manhattan,1376.0031443794219
Friday,sunny,summer,day,manhattan,837.7775344440801
Friday,sunny,summer,day,not manhattan,1988.0675893927028
Friday,sunny,summer,night,manhattan,787.3323588944418
Friday,sunny,summer,night,not manhattan,1488.4258035797957
Friday,sunny,winter,day,manhattan,811.376843952867
Friday,sunny,winter,day,not manhattan,1891.157826963726
Friday,sunny,winter,night,manhattan,747.6355617788043
Friday,sunny,winter,night,not manhattan,1310.1935186299281
Saturday,rainy,fall,day,manhattan,797.2832714810803
Saturday,rainy,fall,day,not manhattan,1654.0375867847738
Saturday,rainy,fall,night,manhattan,770.9664905948995
Saturday,rainy,fall,night,not manhattan,1278.7
Saturday,rainy,spring,day,manhattan,776.9263805532171
Saturday,rainy,spring,day,not manhattan,1639.130196001855
Saturday,rainy,spring,night,manhattan,760.2294913225613
Saturday,rainy,spring,night,not manhattan,1377.9368207211783
Saturday,rainy,summer,day,manhattan,770.108802408194
Saturday,rainy,summer,day,not manhattan,1733.7050503218786
Saturday,rainy,summer,night,manhattan,757.2079915321514
Saturday,rainy,summer,night,not manhattan,1547.0064446831364
Saturday,rainy,winter,day,manhattan,768.8576804056312
Saturday,rainy,winter,day,not manhattan,1581.1683771815576
Saturday,rainy,winter,night,manhattan,734.5533285612025
Saturday,rainy,winter,night,not manhattan,1389.3632075471698
Saturday,sunny,fall,day,manhattan,875.9990844884547
Saturday,sunny,fall,day,not manhattan,1854.3794279084298
Saturday,sunny,fall,night,manhattan,830.2189849682608
Saturday,sunny,fall,night,not manhattan,1383.8940522482064
Saturday,sunny,spring,day,manhattan,809.7140062409387
Saturday,sunny,spring,day,not manhattan,1692.3723763431199
Saturday,sunny,spring,night,manhattan,755.7451503016002
Saturday,sunny,spring,night,not manhattan,1333.8716629335916
Saturday,sunny,summer,day,manhattan,790.4065890072006
Saturday,sunny,summer,day,not manhattan,1734.4299372425967
Saturday,sunny,summer,night,manhattan,779.4998642321958
Saturday,sunny,summer,night,not manhattan,1473.7032640243613
Saturday,sunny,winter,day,manhattan,765.687271776123
Saturday,sunny,winter,day,not manhattan,1550.6685635892486
Saturday,sunny,winter,night,manhattan,750.5489532098987
Saturday,sunny,winter,night,not manhattan,1262.2804914794604
