pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
Monday,rainy,fall,day,manhattan,2.469631155505461,11.456062355059789,2.3295687097568245,17.767592794123363,807.8155583194061,154374
Monday,rainy,fall,day,not manhattan,10.540003887420308,33.17986316280516,5.83191299953351,45.84066630384077,1973.9799797854143,25724
Monday,rainy,fall,night,manhattan,2.912703757557205,11.791666488099795,2.3681804545802403,18.117060993342005,724.5222315757251,65335
Monday,rainy,fall,night,not manhattan,11.502112201963534,34.153008134642356,5.854162692847125,46.00919438990182,1412.6953155680224,17825
Monday,rainy,spring,day,manhattan,2.426050350499893,11.201857649434439,2.2380468865431022,17.413618767750727,781.0922791522335,121826
Monday,rainy,spring,day,not manhattan,9.960625464980337,31.31445158890424,5.619327771282814,43.80049686470401,1783.4460622807949,18818
Monday,rainy,spring,night,manhattan,2.6895047975280533,10.9630663522524,2.2513908765652952,17.08843145226866,662.5735892014961,24596
Monday,rainy,spring,night,not manhattan,10.78853998655914,31.939129704301077,5.765068884408603,43.60866095430107,1320.1251680107528,5952
Monday,rainy,summer,day,manhattan,2.50525559640908,11.52059426165111,2.1874902841938764,17.520881126719253,807.6203869562029,190926
Monday,rainy,summer,day,not manhattan,10.229126645768025,32.29180125391849,5.362225391849529,44.230868652037614,1883.1757680250785,31900
Monday,rainy,summer,night,manhattan,3.207850374064838,12.359550409690062,2.3134442465265406,18.686128250801566,704.2627716423227,14035
Monday,rainy,summer,night,not manhattan,11.722070739549839,34.683142550911036,5.753121114683816,46.24685316184352,1369.4355841371919,4665
Monday,rainy,winter,day,manhattan,2.201743036760423,10.2432209907842,2.022215389359005,15.882106872451951,685.5008222275515,116756
Monday,rainy,winter,day,not manhattan,9.79586263938243,30.260390883470162,4.999807008944982,41.28966486950129,1545.8570640852836,16322
Monday,rainy,winter,night,manhattan,2.854585750151502,11.193510518569822,2.1930932386806337,17.269847632239635,635.2442212795429,11551
Monday,rainy,winter,night,not manhattan,11.583255216693418,33.90887961476726,5.70391974317817,45.23805136436597,1352.1874799357945,3115
Monday,sunny,fall,day,manhattan,2.5048876783628247,11.82566943307748,2.323441278322915,18.003588929552834,840.6064232095816,721633
Monday,sunny,fall,day,not manhattan,10.33236158919093,32.763753257198005,5.806177014637285,45.40098552356442,1887.805444748271,124340
Monday,sunny,fall,night,manhattan,3.0076336295560715,11.925557773566934,2.3792886601072074,18.28445691935108,706.9072522216705,98687
Monday,sunny,fall,night,not manhattan,11.503901138344785,33.991153385977505,5.962946364475439,45.934099750452944,1347.207329162821,29253
Monday,sunny,spring,day,manhattan,2.4621000711174212,11.288599300365119,2.21412715594282,17.32874891034815,773.576409837032,797273
Monday,sunny,spring,day,not manhattan,10.15972881220225,31.90260594899716,5.606617718883863,44.24015212778734,1834.3605748829016,124895
Monday,sunny,spring,night,manhattan,2.9996658850685542,11.71438140526958,2.307638258862373,17.96867274413984,675.1362756484708,136899
Monday,sunny,spring,night,not manhattan,11.595884976164847,34.1698821056948,5.91237890204521,45.94314290840125,1357.0445179148085,39018
Monday,sunny,summer,day,manhattan,2.5072385772406496,11.250584355381314,2.199330130717223,17.336577402702225,756.3223475186477,641767
Monday,sunny,summer,day,not manhattan,10.30423109040974,32.10944143408551,5.463499665973872,44.28866807081354,1784.2389307452495,107776
Monday,sunny,summer,night,manhattan,2.9161713580346844,11.673188443922808,2.27625891225017,17.880043170029207,697.519348941997,148251
Monday,sunny,summer,night,not manhattan,11.613444333869198,34.50074459669805,5.7117339049222995,46.06144020005614,1440.1048253336396,39189
Monday,sunny,winter,day,manhattan,2.326442492403592,11.608941439256963,2.2790357085469184,17.841000843964927,764.5339692264041,690787
Monday,sunny,winter,day,not manhattan,9.810326124801733,33.02313899957445,5.574486730627878,45.47302680954776,1704.959427830864,103396
Monday,sunny,winter,night,manhattan,2.811874831672502,11.984707867627256,2.35376085712362,18.454762069081607,664.4418091839483,118816
Monday,sunny,winter,night,not manhattan,11.219145099448838,35.03998652048885,5.786910795590702,46.95587886412653,1291.45959142104,33384
Tuesday,rainy,fall,day,manhattan,2.337681301045241,11.939162604345587,2.374483299068266,18.1085815765439,910.2228231659419,266063
Tuesday,rainy,fall,day,not manhattan,9.657213772267944,31.778198510261486,5.426271747056985,43.713045629753104,2100.344332742994,38396
Tuesday,rainy,fall,night,manhattan,3.0355279060683347,12.137443533007055,2.4600599710484596,18.584968865605113,740.6795110406471,43521
Tuesday,rainy,fall,night,not manhattan,11.36457518140902,33.88078350326077,5.6513603380178195,45.34607329842932,1416.416459998163,10887
Tuesday,rainy,spring,day,manhattan,2.3367114170446515,11.363237982358172,2.291934333188977,17.474172269961024,824.6219770701798,87746
Tuesday,rainy,spring,day,not manhattan,9.325699910736022,29.711315426438365,5.031175850036517,41.082951391706565,1726.1972733912196,12323
Tuesday,rainy,spring,night,manhattan,2.7401115788753123,11.161734264298182,2.350476434952254,17.39196221377965,688.6502036485608,29217
Tuesday,rainy,spring,night,not manhattan,10.492768970293982,31.39871633061413,5.405140834231183,42.53048176081268,1343.8211482222564,6497
Tuesday,rainy,summer,day,manhattan,2.3688086652411844,11.228574729097959,2.2455102743449427,17.57019171529011,804.48131772551,110372
Tuesday,rainy,summer,day,not manhattan,9.695172313593304,30.49890567792178,5.102127041320393,42.402413552623926,1722.400418434358,17207
Tuesday,rainy,summer,night,manhattan,2.773823788805268,11.372102539981185,2.3179571378174977,17.575802269520224,710.012347130762,34016
