pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
March,sunny,spring,day,manhattan,2.380551220663042,11.298613859166297,2.263855548461426,17.330946797934672,801.54740664836,1962499
March,sunny,spring,day,not manhattan,9.523328968989398,30.32473041109869,5.291927226753303,42.10179370784156,1781.3452696264171,266554
March,sunny,spring,night,manhattan,2.8239966219638584,11.52671399294002,2.354910522952723,17.779645812715753,711.569898464104,513316
March,sunny,spring,night,not manhattan,10.252903764383694,30.7405423162851,5.356832824849256,41.71359706440531,1295.1927234727461,83254
March,sunny,summer,day,manhattan,,,,,,0
March,sunny,summer,day,not manhattan,,,,,,0
March,sunny,summer,night,manhattan,,,,,,0
March,sunny,summer,night,not manhattan,,,,,,0
March,sunny,winter,day,manhattan,,,,,,0
March,sunny,winter,day,not manhattan,,,,,,0
March,sunny,winter,night,manhattan,,,,,,0
March,sunny,winter,night,not manhattan,,,,,,0
April,rainy,fall,day,manhattan,,,,,,0
April,rainy,fall,day,not manhattan,,,,,,0
April,rainy,fall,night,manhattan,,,,,,0
April,rainy,fall,night,not manhattan,,,,,,0
April,rainy,spring,day,manhattan,2.401771781750515,11.536142558871092,2.3018665957776743,17.595804257770098,829.5119846702554,361128
April,rainy,spring,day,not manhattan,9.536311234487263,30.66997489386022,5.251963177661659,42.29789149248857,1855.369346015676,48992
April,rainy,spring,night,manhattan,2.775764552428079,11.378330728061368,2.3222438120477435,17.588768724313915,707.8185695504094,96599
April,rainy,spring,night,not manhattan,10.31295579201404,31.026694273804296,5.312318451075033,41.99996654234313,1338.9879333040808,18232
April,rainy,summer,day,manhattan,,,,,,0
April,rainy,summer,day,not manhattan,,,,,,0
April,rainy,summer,night,manhattan,,,,,,0
April,rainy,summer,night,not manhattan,,,,,,0
April,rainy,winter,day,manhattan,,,,,,0
April,rainy,winter,day,not manhattan,,,,,,0
April,rainy,winter,night,manhattan,,,,,,0
April,rainy,winter,night,not manhattan,,,,,,0
April,sunny,fall,day,manhattan,,,,,,0
April,sunny,fall,day,not manhattan,,,,,,0
April,sunny,fall,night,manhattan,,,,,,0
April,sunny,fall,night,not manhattan,,,,,,0
April,sunny,spring,day,manhattan,2.487540782968419,11.712941267278781,2.303749475330441,17.78678343254969,830.8238578347291,1982200
April,sunny,spring,day,not manhattan,9.770415999356457,31.19777001382155,5.299359820978039,42.93141382008586,1855.832499652633,273486
April,sunny,spring,night,manhattan,2.8734951363449417,11.712838251188415,2.3707571233178064,17.99237528096336,725.4180581725665,522755
April,sunny,spring,night,not manhattan,10.36592885663313,31.199737854533538,5.291524570069298,42.114833185674236,1337.8990861317766,82397
April,sunny,summer,day,manhattan,,,,,,0
April,sunny,summer,day,not manhattan,,,,,,0
April,sunny,summer,night,manhattan,,,,,,0
April,sunny,summer,night,not manhattan,,,,,,0
April,sunny,winter,day,manhattan,,,,,,0
April,sunny,winter,day,not manhattan,,,,,,0
April,sunny,winter,night,manhattan,,,,,,0
April,sunny,winter,night,not manhattan,,,,,,0
May,rainy,fall,day,manhattan,,,,,,0
May,rainy,fall,day,not manhattan,,,,,,0
May,rainy,fall,night,manhattan,,,,,,0
May,rainy,fall,night,not manhattan,,,,,,0
May,rainy,spring,day,manhattan,2.4891028319191197,11.787031527617733,2.306010253818993,17.852086052382393,842.8219795704159,486843
May,rainy,spring,day,not manhattan,9.899471233309859,31.947860643603487,5.41699455279762,43.78403423545137,2000.6612817454043,69577
May,rainy,spring,night,manhattan,2.8207796673039063,11.817032413616001,2.357547721630953,18.069108910891092,763.7442434445173,140188
May,rainy,spring,night,not manhattan,10.131215379933042,30.771517703155116,5.146317337932434,41.45601501471036,1373.697473876433,19714
May,rainy,summer,day,manhattan,,,,,,0
May,rainy,summer,day,not manhattan,,,,,,0
May,rainy,summer,night,manhattan,,,,,,0
May,rainy,summer,night,not manhattan,,,,,,0
May,rainy,winter,day,manhattan,,,,,,0
May,rainy,winter,day,not manhattan,,,,,,0
May,rainy,winter,night,manhattan,,,,,,0
May,rainy,winter,night,not manhattan,,,,,,0
May,sunny,fall,day,manhattan,,,,,,0
May,sunny,fall,day,not manhattan,,,,,,0
May,sunny,fall,night,manhattan,,,,,,0
May,sunny,fall,night,not manhattan,,,,,,0
May,sunny,spring,day,manhattan,2.58136153519638,12.233634261712474,2.3968559491079184,18.45358409095323,881.4001681236458,1802245
May,sunny,spring,day,not manhattan,10.02633053711909,32.43447981843862,5.536563637786531,44.54303418437126,2025.899373553602,268339
May,sunny,spring,night,manhattan,2.9763441648528755,12.035576224932294,2.415526774884942,18.382507455929023,742.0343263495439,481496
May,sunny,spring,night,not manhattan,10.564793527478857,31.844339141137546,5.384581578382773,42.88996036540611,1383.0753621879198,88559
May,sunny,summer,day,manhattan,,,,,,0
May,sunny,summer,day,not manhattan,,,,,,0
May,sunny,summer,night,manhattan,,,,,,0
May,sunny,summer,night,not manhattan,,,,,,0
May,sunny,winter,day,manhattan,,,,,,0
May,sunny,winter,day,not manhattan,,,,,,0
May,sunny,winter,night,manhattan,,,,,,0
May,sunny,winter,night,not manhattan,,,,,,0
June,rainy,fall,day,manhattan,,,,,,0
June,rainy,fall,day,not manhattan,,,,,,0
June,rainy,fall,night,manhattan,,,,,,0
June,rainy,fall,night,not manhattan,,,,,,0
June,rainy,spring,day,manhattan,,,,,,0
June,rainy,spring,day,not manhattan,,,,,,0
June,rainy,spring,night,manhattan,,,,,,0
June,rainy,spring,night,not manhattan,,,,,,0
June,rainy,summer,day,manhattan,2.5026899470959636,12.16380684483283,2.3840998211894737,18.35615307204444,904.7352609240723,351769
June,rainy,summer,day,not manhattan,9.898022677819256,32.36307767552353,5.495706985007885,44.403594114946195,2092.8417543369333,50093
