FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.fid--38345ac2_18774556e1b_-7fa3,10077,Strandlodsvej,viatrafik,44,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20140326,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/usH2geNOET.pdf,,,,,,,,983,POINT (12.622753811775276 55.66391070122895)
trafiktaelling.fid--38345ac2_18774556e1b_-7fa2,10078,Sydhavnsgade,viatrafik,-,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20150216,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/QNlEnFxraV.pdf,,,,,,,,984,POINT (12.541868082948513 55.64729557891441)
trafiktaelling.fid--38345ac2_18774556e1b_-7fa1,10079,Teglholmsgade,viatrafik,2,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20160128,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/PRU8ixNKJv.pdf,,,,,,,,985,POINT (12.5432164591691 55.653510648077216)
trafiktaelling.fid--38345ac2_18774556e1b_-7fa0,10080,Toldbodgade,viatrafik,10,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20131104,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EaNkQkduGG.pdf,,,,,,,,986,POINT (12.591866479994618 55.68031582448803)
trafiktaelling.fid--38345ac2_18774556e1b_-7f9f,10081,Tom Kristensens Vej,viatrafik,15,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20150608,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ARfX5Rnmo8.pdf,,,,,,,,987,POINT (12.585823489767815 55.66034287941411)
trafiktaelling.fid--38345ac2_18774556e1b_-7f9e,10082,Torveporten,viatrafik,4,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20160825,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/27BZVtptIU.pdf,,,,,,,,988,POINT (12.508879611300998 55.65372855628501)
trafiktaelling.fid--38345ac2_18774556e1b_-7f9d,10083,Vanløse Allé,viatrafik,46,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20150316,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/01uI21qKd8.pdf,,,,,,,,989,POINT (12.497875695754239 55.68967398036445)
trafiktaelling.fid--38345ac2_18774556e1b_-7f9c,10084,Vanløse Allé,viatrafik,47,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20150316,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/yGO9Sd9nyy.pdf,,,,,,,,990,POINT (12.499457496613182 55.690244065334944)
trafiktaelling.fid--38345ac2_18774556e1b_-7f9b,10085,Vanløse Allé,viatrafik,59,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20150316,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/2AaAm9khRQ.pdf,,,,,,,,991,POINT (12.496863132349752 55.68933717169667)
trafiktaelling.fid--38345ac2_18774556e1b_-7f9a,10086,Vejlands Allé,viatrafik,110,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20140401,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1wBn4hP9vq.pdf,,,,,,,,992,POINT (12.597191287505025 55.64250663596083)
trafiktaelling.fid--38345ac2_18774556e1b_-7f99,10087,Østerbrogade,viatrafik,238,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20140224,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Xd1U16TCIc.pdf,,,,,,,,993,POINT (12.577655972018707 55.714335126036616)
trafiktaelling.fid--38345ac2_18774556e1b_-7f98,10088,Østerled,viatrafik,8,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20131216,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5T3e7rjFjQ.pdf,,,,,,,,994,POINT (12.57864684995539 55.71818559546211)
trafiktaelling.fid--38345ac2_18774556e1b_-7f97,10089,Østerled,viatrafik,18,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20131216,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/jPNuJQjt5G.pdf,,,,,,,,995,POINT (12.58040881059076 55.71838053634135)
trafiktaelling.fid--38345ac2_18774556e1b_-7f96,10090,Åbakkevej,viatrafik,6,100,Øvrige tællinger,,,,,,,,,,,,,,,,,,,20150316,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/55lxE3e63m.pdf,,,,,,,,996,POINT (12.502894449742943 55.69004764477952)
