FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.fid--38345ac2_187744723e7_7c86,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4 eller 5A,3,Andre faste tællinger,40971,"4,0",47900,53700,15680,"3,1",16200,19100,,,,,,,,,,,20220922,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0m4ck4EXdW.pdf,4,3.0999999,873,"2,13",,,116,1,POINT (12.565491397230991 55.677960848602766)
trafiktaelling.fid--38345ac2_187744723e7_7c87,3,Bredgade,nord for Kongens Nytorv,4,3,Andre faste tællinger,10537,"2,2",12300,13800,5630,"4,5",5800,6900,,,,,,,,,,,20220927,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/68Ce1esQPo.pdf,2.20000005,4.5,188,"1,78",,,23,2,POINT (12.587600106423729 55.681163602385205)
trafiktaelling.fid--38345ac2_187744723e7_7c88,4,Christian d. IV's Bro,syd for Niels Juels Gade,,3,Andre faste tællinger,12145,"0,1",14200,15900,6902,"3,1",7100,8400,,,,,,,,,,,20210615,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3vcSNr6Hvu.pdf,0.1,3.0999999,18,"0,15",,,18,3,POINT (12.587161874224895 55.67576459605933)
trafiktaelling.fid--38345ac2_187744723e7_7c89,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,4150,"12,1",4900,5400,30310,"5,0",31200,37000,,,,,,,,,,,20220915,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/hqicQqiuBo.pdf,12.10000038,5,63,,99,"0,3",,4,POINT (12.563772380225611 55.686726138477155)
trafiktaelling.fid--38345ac2_187744723e7_7c8a,6,Kampmannsgade,ud for søerne,,2,Søsnittet,3537,"2,8",4100,4600,8767,"3,2",9000,10700,,,,,,,,,,,20220906,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/t3T9dWRc4w.pdf,2.79999995,3.20000005,40,"1,13",,,9,5,POINT (12.557917540101617 55.67797681383058)
trafiktaelling.fid--38345ac2_187744723e7_7c8b,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,28540,"2,5",33400,37400,4155,"4,3",4300,5100,,,,,,,,,,,20210601,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/2nSOUbkSRS.pdf,2.5,4.30000019,617,"2,16",,,49,6,POINT (12.510990440718215 55.650502831976276)
trafiktaelling.fid--38345ac2_187744723e7_7c8c,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,10941,"1,7",12800,14300,2308,"7,7",2400,2800,,,,,,,,,,,20220503,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/xvZV289nK9.pdf,1.70000005,7.69999981,137,"1,25",,,9,7,POINT (12.59984563626354 55.63848509063262)
trafiktaelling.fid--38345ac2_187744723e7_7c8d,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,531,"2,1",600,700,2724,,2800,3300,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tY91YGf9p1.pdf,2.0999999,,11,,,,,8,POINT (12.572503733886565 55.67597245960375)
trafiktaelling.fid--38345ac2_187744723e7_7c8e,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,64,,100,100,1260,,1300,1500,35606,41700,43100,,,,,,,41700,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/gsufDE4hgG.pdf,,,0,,,,,9,POINT (12.572683528145085 55.68321134228041)
trafiktaelling.fid--38345ac2_187744723e7_7c8f,12,Frederiksborggade,sydøst for Søtorvet,50,3,Andre faste tællinger,3440,"14,7",4000,4500,16316,"3,3",16800,19900,,,,,,,,,,,20200923,2020,http://kk.sites.itera.dk/apps/kk_trafik/pdf/39CXIJZSt7.pdf,14.69999981,3.29999995,76,"2,21",,,11,10,POINT (12.566369474794927 55.685708418286204)
trafiktaelling.fid--38345ac2_187744723e7_7c90,13,Frederiksborgvej,syd for Gladsaxevej,221,1,Kommunegrænsen,10543,"4,8",12300,13800,5481,"4,0",5600,6700,,,,,,,,,,,20220511,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ISturDWHC9.pdf,4.80000019,4,104,"0,98",,,22,11,POINT (12.525153439020631 55.72710588532446)
trafiktaelling.fid--38345ac2_187744723e7_7c91,14,Frederikssundsvej,ved fæstningsvolden,356,1,Kommunegrænsen,15480,"3,7",18100,20300,3627,"4,0",3700,4400,,,,,,,,,,,20220510,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/viEgPGnTsf.pdf,3.70000005,4,277,"1,78",,,21,12,POINT (12.467131018190685 55.713361816298715)
trafiktaelling.fid--38345ac2_187744723e7_7c92,16,Gl. Køge Landevej,syd for Vigerslevvej,220A,1,Kommunegrænsen,12353,"4,8",14500,16200,3874,"3,8",4000,4700,,,,,,,,,,,20220504,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/qf3FhnIM89.pdf,4.80000019,3.79999995,212,"1,71",,,42,13,POINT (12.501067806935959 55.642414797211806)
trafiktaelling.fid--38345ac2_187744723e7_7c93,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,3659,"4,7",4300,4800,12222,"2,6",12600,14900,,,,,,,,,,,20190925,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/y87joygBU8.pdf,4.69999981,2.5999999,53,"4,7",111,"0,9",18,14,POINT (12.566545050457883 55.68641228608008)
trafiktaelling.fid--38345ac2_187744723e7_7c94,18,Grøndals Parkvej,nord for Peter Bangs Vej,,3,Andre faste tællinger,13759,"3,2",16100,18000,2186,"4,1",2300,2700,,,,,,,,,,,20210602,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/FvBclB4gxH.pdf,3.20000005,4.0999999,179,"1,30",,,19,15,POINT (12.487389543509753 55.67777162433822)
trafiktaelling.fid--38345ac2_187744723e7_7c95,19,Gyldenløvesgade,ud for Søpavillonen,24,2,Søsnittet,39917,"2,9",46700,52300,24305,"3,8",25000,29700,,,,,,,,,,,20220917,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cWBPUWSEDW.pdf,2.9000001,3.79999995,599,"1,5",,,127,16,POINT (12.558879052393788 55.68162962198664)
trafiktaelling.fid--38345ac2_187744723e7_7c96,20,Hareskovvej,nordvest for Mosesvinget (Hillerødmotorvejen),,1,Kommunegrænsen,47495,"1,6",55600,62200,4865,"2,8",5000,5900,,,,,,,,,,,20220601,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/41Fd2pHTBF.pdf,1.60000002,2.79999995,458,"0,96",,,167,17,POINT (12.50390557494531 55.71341711589515)
trafiktaelling.fid--38345ac2_187744723e7_7c97,21,Hillerødgade,vest for Borups Allé,112,3,Andre faste tællinger,14667,"2,8",17200,19200,4410,"5,7",4500,5400,,,,,,,,,,,20220621,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/A9d8PMPyfC.pdf,2.79999995,5.69999981,286,"1,94",,,36,18,POINT (12.524881062593547 55.69669617851435)
trafiktaelling.fid--38345ac2_187744723e7_7c98,23,Jagtvej,syd for Nørrebrogade,69,3,Andre faste tællinger,15373,"2,2",18000,20100,14975,"3,1",15400,18300,,,,,,,,,,,20200930,2020,https://kk.sites.itera.dk/apps/kk_trafik/pdf/mdDvnOPvRG.pdf,2.20000005,3.0999999,215,"1,40",,,9,19,POINT (12.548166594681598 55.69376045384262)
trafiktaelling.fid--38345ac2_187744723e7_7c99,24,Jyllingevej,vest for Tudskærvej,125,1,Kommunegrænsen,28690,"2,9",33600,37600,1641,"3,4",1700,2000,,,,,,,,,,,20220511,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/wtN2YLq6Xi.pdf,2.9000001,3.4000001,541,"1,88",,,49,20,POINT (12.468280663263842 55.691490760831755)
trafiktaelling.fid--38345ac2_187744723e7_7c9a,25,Kalvebod Brygge,sydvest for Bernstorffgade,37,2,Søsnittet,31121,"4,3",36400,40800,4060,"3,4",4200,5000,,,,,,,,,,,20210916,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/K06xO6InTA.pdf,4.30000019,3.4000001,855,"2,75",,,270,21,POINT (12.569969800636592 55.66710839094161)
trafiktaelling.fid--38345ac2_187744723e7_7c9b,26,Knippelsbro,nord for Torvegade,,2,Søsnittet,19282,"5,0",22600,25300,21470,"3,9",22100,26200,,,,,,,,,,,20220908,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/D0SuXT2ThT.pdf,5,3.9000001,486,"2,52",,,100,22,POINT (12.586998878059134 55.67489294070495)
trafiktaelling.fid--38345ac2_187744723e7_7c9c,27,Kristen Bernikows Gade,nordvest for Østergade,2,3,Andre faste tællinger,3471,"3,9",4100,4500,12228,"3,1",12600,14900,,,,,,,,,,,20201006,2020,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0KFsHH2EA9.pdf,3.9000001,3.0999999,132,"3,80",,,4,23,POINT (12.582295655249021 55.67998567768589)
trafiktaelling.fid--38345ac2_187744723e7_7c9d,29,Langebro,vest for Amager Boulevard,,2,Søsnittet,41879,"3,8",49000,54900,19413,"3,8",20000,23700,,,,,,,,,,,20220913,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/yHSsLtmQcZ.pdf,3.79999995,3.79999995,808,"1,93",,,114,24,POINT (12.578524713360443 55.67042883796167)
trafiktaelling.fid--38345ac2_187744723e7_7c9e,31,Lyngbyvej,Motorvejen,144,1,Kommunegrænsen,67576,"3,1",79100,88500,0,0,0,0,,,,,,,,,,,20220518,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/AJqVDxhREz.pdf,3.0999999,0,1888,"2,79",,,197,25,POINT (12.556679854965623 55.71896950142807)
trafiktaelling.fid--38345ac2_187744723e7_7c9f,32,Nørre Allé,syd for Universitetsparken,63,3,Andre faste tællinger,24004,"3,1",28100,31400,7605,"2,7",7800,9300,,,,,,,,,,,20220614,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/nUqLyA2dpM.pdf,3.0999999,2.70000005,238,"0,99",,,74,26,POINT (12.562227745479044 55.7019629765)
trafiktaelling.fid--38345ac2_187744723e7_7ca0,33,Nørregade,sydøst for Nørre Voldgade,40 eller 49,3,Andre faste tællinger,2948,"4,2",3400,3900,10544,"5,9",10900,12900,,,,,,,,,,,20220922,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/aYyp990Bzj.pdf,4.19999981,5.9000001,95,"3,22",,,29,27,POINT (12.57098514496608 55.68203718389305)
trafiktaelling.fid--38345ac2_187744723e7_7ca1,34,Nørre Voldgade,nordøst for Jarmers Plads,6,3,Andre faste tællinger,8777,"7,7",10300,11500,7834,"4,9",8100,9600,,,,,,,,,,,20210928,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/fjWV4Ci2fi.pdf,7.69999981,4.9000001,302,"3,44",,,35,28,POINT (12.566473004136622 55.67933661489678)
trafiktaelling.fid--38345ac2_187744723e7_7ca2,36,Roskildevej,ud for Damhussøen,213,1,Kommunegrænsen,30115,"3,0",35200,39500,5837,"3,5",6000,7100,,,,,,,,,,,20220522,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/tK6fUHT2Tj.pdf,3,3.5,420,"1,39",,,55,29,POINT (12.476224094045238 55.67272468616922)
trafiktaelling.fid--38345ac2_187744723e7_7ca3,37,Sjællandsbroen,øst for Sluseholmen,,3,Andre faste tællinger,42482,"5,0",49700,55700,1692,"3,5",1700,2100,,,,,,,,,,,20210527,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/laNCXlPPUO.pdf,5,3.5,1675,"3,94",,,191,30,POINT (12.55037701730951 55.64161980604731)
trafiktaelling.fid--38345ac2_187744723e7_7ca4,837,Bragesgade / Nørrebrogade,Krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090618,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/x5rVrOsxpm.pdf,,,,,,,,339,POINT (12.542442669762401 55.698588962036915)
trafiktaelling.fid--38345ac2_187744723e7_7ca5,40,Slotsherrensvej,ved Islev St.,139 eller 140,1,Kommunegrænsen,12961,"1,9",15200,17000,2279,"4,2",2300,2800,,,,,,,,,,,20220510,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/49xYV1mBJp.pdf,1.89999998,4.19999981,185,"1,42",,,18,31,POINT (12.468136254513853 55.699934127007594)
trafiktaelling.fid--38345ac2_187744723e7_7ca6,41,St. Kongens Gade,nord for Kongens Nytorv,7 eller 24,3,Andre faste tællinger,9661,"3,1",11300,12700,6649,"5,3",6800,8100,,,,,,,,,,,20220927,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/wbf01eWnTy.pdf,3.0999999,5.30000019,263,"2,72",,,302,32,POINT (12.585604179900852 55.68182401685073)
trafiktaelling.fid--38345ac2_187744723e7_7ca7,42,Strandboulevarden,nord for Classensgade,13 eller 32,2,Søsnittet,6297,"3,6",7400,8200,2273,"6,0",2300,2800,,,,,,,,,,,20220907,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rl8Ne5GqfI.pdf,3.5999999,6,121,"1,92",,,5,33,POINT (12.59041180278704 55.69918161400115)
trafiktaelling.fid--38345ac2_187744723e7_7ca8,43,Strandvejen,nord for Dessaus Bouilevard,115,1,Kommunegrænsen,13138,"3,8",15400,17200,6187,"4,9",6400,7500,,,,,,,,,,,20220601,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3rZyTWCjwP.pdf,3.79999995,4.9000001,185,"1,40",,,37,34,POINT (12.577449894629323 55.72376879642319)
trafiktaelling.fid--38345ac2_187744723e7_7ca9,44,Sølvgade,nordvest for Øster Farimagsgade,87,3,Andre faste tællinger,8454,"6,3",9900,11100,5779,"4,1",6000,7100,,,,,,,,,,,20220929,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Wc6lBEs5yj.pdf,6.30000019,4.0999999,133,"1,57",,,25,35,POINT (12.573390208881456 55.68982339564064)
trafiktaelling.fid--38345ac2_187744723e7_7caa,45,Sønderkær,syd for Holbækmotorvejen,,1,Kommunegrænsen,4037,"2,8",4700,5300,1258,,1300,1500,,,,,,,,,,,20220504,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/dnmYgL0Faj.pdf,2.79999995,,62,"1,53",,,,36,POINT (12.486583222113214 55.652261248901624)
trafiktaelling.fid--38345ac2_187744723e7_7cab,46,Tagensvej,sydøst for Tuborgvej,223,3,Andre faste tællinger,8417,"5,8",9800,11000,4549,"3,4",4700,5500,,,,,,,,,,,20220517,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/QlAbUNZNDM.pdf,5.80000019,3.4000001,149,"1,77",,,13,37,POINT (12.535592125639816 55.7129139148999)
trafiktaelling.fid--38345ac2_187744723e7_7cac,48,Tuborgvej,nord for Bispebjerg Parkallé,175,3,Andre faste tællinger,22534,"2,3",26400,29500,3724,"4,5",3800,4500,,,,,,,,,,,20210609,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/M412FJy2Gd.pdf,2.29999995,4.5,353,"1,57",,,24,38,POINT (12.54135327458717 55.71952559110471)
trafiktaelling.fid--38345ac2_187744723e7_7cad,49,Tuborgvej,sydvest for Lundedalsvej,157,1,Kommunegrænsen,21470,"2,6",25100,28100,3385,"4,0",3500,4100,,,,,,,,,,,20220517,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ubRf3mrOMr.pdf,2.5999999,4,318,"1,48",,,27,39,POINT (12.545781356308604 55.72254625776025)
trafiktaelling.fid--38345ac2_187744723e7_7cae,52,Vesterbrogade,sydvest for Rådhuspladsen,2B,3,Andre faste tællinger,8807,"21,2",10300,11500,9801,"2,9",10100,12000,,,,,,,,,,,20190620,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/tRBlvskFe2.pdf,21.20000076,2.9000001,225,"2,6",,,289,40,POINT (12.566772436603435 55.67536449909187)
trafiktaelling.fid--38345ac2_187744723e7_7caf,53,Vester Farimagsgade,nord for Ved Vesterport,9,3,Andre faste tællinger,10141,"3,7",11900,13300,5750,"3,2",5900,7000,,,,,,,,,,,20190926,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/4qmaVJR4aW.pdf,3.70000005,3.20000005,154,"1,5",,,46,41,POINT (12.561949332841799 55.67569778126639)
trafiktaelling.fid--38345ac2_187744723e7_7cb0,54,Vigerslev Allé,øst for Toftegårds plads,38,3,Andre faste tællinger,18061,"5,3",21100,23700,7452,"4,7",7700,9100,,,,,,,,,,,20210601,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/s24Q2a74aC.pdf,5.30000019,4.69999981,334,"1,85",,,42,42,POINT (12.518333385402117 55.661660987474484)
trafiktaelling.fid--38345ac2_187744723e7_7cb1,55,Vigerslev Allé,vest for Vigerslevvej,362A,1,Kommunegrænsen,4309,"9,3",5000,5600,2389,"2,0",2500,2900,,,,,,,,,,,20220405,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/LfN1gsVNfi.pdf,9.30000019,2,85,"1,97",,,10,43,POINT (12.485722160115413 55.65466783328451)
trafiktaelling.fid--38345ac2_187744723e7_7cb2,56,Vigerslevvej,nord for Langagervej,113,3,Andre faste tællinger,13761,"2,7",16100,18000,2062,"5,0",2100,2500,,,,,,,,,,,20220504,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/JQpwslnIbr.pdf,2.70000005,5,245,"1,78",,,30,44,POINT (12.48276964166911 55.662707115219774)
trafiktaelling.fid--38345ac2_187744723e7_7cb3,57,Østbanegade,nord for Classensgade,55,2,Søsnittet,497,"3,8",600,700,2249,"3,8",2300,2700,,,,,,,,,,,20220908,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/FRfBlSnMoP.pdf,3.79999995,3.79999995,18,"3,62",,,,45,POINT (12.591555819239037 55.69948510717181)
trafiktaelling.fid--38345ac2_187744723e7_7cb4,58,Øster Allé,øst for Nørre Allé,,3,Andre faste tællinger,7110,"1,4",8300,9300,2303,"7,1",2400,2800,,,,,,,,,,,20220614,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/QHgp3Ujzvx.pdf,1.39999998,7.0999999,84,"1,18",,,19,46,POINT (12.564264720961644 55.70566503366396)
trafiktaelling.fid--38345ac2_187744723e7_7cb5,59,Østerbrogade,nord for Classensgade,,2,Søsnittet,11824,"2,8",13800,15500,20406,"4,8",21000,24900,,,,,,,,,,,20220907,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/TLg6mnP2BD.pdf,2.79999995,4.80000019,253,"2,13",,,22,47,POINT (12.57959092243182 55.696738954035354)
trafiktaelling.fid--38345ac2_187744723e7_7cb6,60,Øster Søgade,nordøst for Gothersgade,8,3,Andre faste tællinger,20478,"1,6",24000,26800,9448,"2,8",9700,11500,,,,,,,,,,,20180913,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9HjWlfenx2.pdf,1.60000002,2.79999995,295,,,,,48,POINT (12.56624810830595 55.6870294647223)
trafiktaelling.fid--38345ac2_187744723e7_7cb7,61,Åboulevard,nordvest for Tømrergade,16,3,Andre faste tællinger,37500,"2,9",43900,49100,10603,"1,4",10900,12900,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CGuPQPAA0U.pdf,2.9000001,1.39999998,656,,,,,49,POINT (12.555942314686675 55.68340207576487)
trafiktaelling.fid--38345ac2_187744723e7_7cb8,62,Amagerbrogade,syd for Adriansvej,289,1,Kommunegrænsen,8954,"4,5",10500,11700,3328,"4,6",3400,4100,,,,,,,,,,,20220503,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/lPBRosOBEX.pdf,4.5,4.5999999,119,"1,32",,,7,50,POINT (12.616641064774116 55.64158255111832)
trafiktaelling.fid--38345ac2_187744723e7_7cb9,63,Amager Strandvej,syd for Hedegårdsvej,,1,Kommunegrænsen,11942,"7,0",14000,15600,915,"4,2",900,1100,,,,,,,,,,,20220503,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/6MTjq5u4UL.pdf,7,4.19999981,819,"6,85",,,12,51,POINT (12.6433993037996 55.64613218742151)
trafiktaelling.fid--38345ac2_187744723e7_7cba,64,Amaliegade,nord for Toldbodgade,35 eller 44,3,Andre faste tællinger,6067,"4,5",7100,7900,3177,,3300,3900,,,,,,,,,,,20150609,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8UHibGRyHs.pdf,4.5,,90,,,,,52,POINT (12.595534022942191 55.68680821210824)
trafiktaelling.fid--38345ac2_187744723e7_7cbb,65,Dag Hammerskjölds Allé,sydøst for Øster Farimagsgade,33,3,Andre faste tællinger,11630,"5,1",13600,15200,11790,"2,5",12100,14400,,,,,,,,,,,20140902,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FHSKuHaHfk.pdf,5.0999999,2.5,237,,,,,53,POINT (12.581091083219516 55.69527947913005)
trafiktaelling.fid--38345ac2_187744723e7_7cbc,67,Enghavevej,nord for P. Knudsens Gade,200,3,Andre faste tællinger,15698,"4,7",18400,20600,8901,"5,4",9200,10900,,,,,,,,,,,20220511,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/x0wuXm21D0.pdf,4.69999981,5.4000001,418,"2,66",,,80,54,POINT (12.538661485092417 55.653769317811665)
trafiktaelling.fid--38345ac2_187744723e7_7cbd,68,Folke Bernadottes Alle,syd for Indiakaj,45,3,Andre faste tællinger,18176,"4,1",21300,23800,7183,"3,6",7400,8800,,,,,,,,,,,20210916,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/4UKaLMCjmv.pdf,4.0999999,3.5999999,545,"3,0",,,64,55,POINT (12.593690949745117 55.69501819561001)
trafiktaelling.fid--38345ac2_187744723e7_7cbe,69,Fredensbro,sydøst for Fredensgade 1,,2,Søsnittet,31209,"3,7",36500,40900,17464,"4,2",18000,21300,,,,,,,,,,,20220907,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/4pVhHwCn3i.pdf,3.70000005,4.19999981,333,"1,06",,,69,56,POINT (12.569850867961883 55.69174745981593)
trafiktaelling.fid--38345ac2_187744723e7_7cbf,70,Grønnemose Allé,vest for Moseskellet,,1,Kommunegrænsen,1682,"0,5",2000,2200,1683,,1700,2100,,,,,,,,,,,20220517,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/TGWXqr79Lh.pdf,0.5,,7,"0,4",,,,57,POINT (12.521733883992841 55.72256218294859)
trafiktaelling.fid--38345ac2_187744723e7_7cc0,71,Horsebakken,nord for Mosesvinget,88,1,Kommunegrænsen,2398,"3,8",2800,3100,1360,,1400,1700,,,,,,,,,,,20220609,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ThaHZdNWT3.pdf,3.79999995,,23,"1,0",,,,58,POINT (12.513114079444916 55.71814905021931)
trafiktaelling.fid--38345ac2_187744723e7_7cc1,72,Ingerslevsgade,sydøst for Tietgensgade,,2,Søsnittet,6588,"6,6",7700,8600,3594,"4,2",3700,4400,,,,,,,,,,,20220913,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/BgkncKukZT.pdf,6.5999999,4.19999981,185,"2,80",,,77,59,POINT (12.565332825581406 55.66991364709634)
trafiktaelling.fid--38345ac2_187744723e7_7cc2,73,Islevhusvej,nordøst for Islevholm,83,1,Kommunegrænsen,9250,"3,9",10800,12100,1102,"3,2",1100,1300,,,,,,,,,,,20220511,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ai1FPyErGS.pdf,3.9000001,3.20000005,78,"0,84",,,15,60,POINT (12.457766659268664 55.70737545125913)
trafiktaelling.fid--38345ac2_187744723e7_7cc3,74,Kastrupvej,syd for Backersvej,,1,Kommunegrænsen,6615,"2,7",7700,8700,1793,"3,9",1800,2200,,,,,,,,,,,20220503,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/PfA0MqHkV8.pdf,2.70000005,3.9000001,74,"1,11",,,20,61,POINT (12.628381928777404 55.64432152835655)
trafiktaelling.fid--38345ac2_187744723e7_7cc4,75,Kongelundsvej,nord for Floridavej,54A,1,Kommunegrænsen,7452,"3,5",8700,9800,1916,"10,4",2000,2300,,,,,,,,,,,20220503,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZidHQwdKCh.pdf,3.5,10.39999962,147,"1,97",,,15,62,POINT (12.588758493854064 55.63804014120544)
trafiktaelling.fid--38345ac2_187744723e7_7cc5,76,Kronprinsessegade,nord for Gothersgade,3 eller 6,3,Andre faste tællinger,650,"2,6",800,900,7189,,7400,8800,,,,,,,,,,,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/qme1OQmU90.pdf,2.5999999,,15,,,,,63,POINT (12.58108086012055 55.683062698333686)
trafiktaelling.fid--38345ac2_187744723e7_7cc6,78,Mørkhøjvej,nord for Frederikssundsvej,2,1,Kommunegrænsen,7973,"4,1",9300,10400,2570,"3,1",2600,3100,,,,,,,,,,,20220510,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/WojaNzIhJ7.pdf,4.0999999,3.0999999,90,"1,12",,,24,64,POINT (12.46819404504644 55.7132313639512)
trafiktaelling.fid--38345ac2_187744723e7_7cc7,79,Rygårds Allé,syd for Lundeskovsvej,104,1,Kommunegrænsen,991,"2,1",1200,1300,839,,900,1000,,,,,,,,,,,20220518,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/x0pHIiXBdo.pdf,2.0999999,,21,"2,11",,,,65,POINT (12.559603740554358 55.72260799467511)
trafiktaelling.fid--38345ac2_187744723e7_7cc8,80,Ryvangs Allé,syd for Callisensvej,76,1,Kommunegrænsen,5710,"1,2",6700,7500,2650,"3,2",2700,3200,,,,,,,,,,,20220518,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/VP22nxKhkS.pdf,1.20000005,3.20000005,54,"0,94",,,13,66,POINT (12.56855675418721 55.72939153042311)
trafiktaelling.fid--38345ac2_187744723e7_7cc9,81,Sumatravej,nord for Hedegårdsvej,72,3,Andre faste tællinger,223,"4,0",300,300,255,,300,300,,,,,,,,,,,20170504,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/6GUOwYHKN5.pdf,4,,7,,,,,67,POINT (12.633782421132699 55.64549835419451)
trafiktaelling.fid--38345ac2_187744723e7_7cca,82,Svanemøllevej,syd for Callisensvej,77,1,Kommunegrænsen,664,"1,8",800,900,791,,800,1000,,,,,,,,,,,20220518,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/wuBhN6OdKz.pdf,1.79999995,,12,"1,8",,,,68,POINT (12.573936551791686 55.729067227070885)
trafiktaelling.fid--38345ac2_187744723e7_7ccb,83,Sølvgade,øst for Øster Voldgade,38,3,Andre faste tællinger,8039,"2,0",9400,10500,8804,"5,3",9100,10700,,,,,,,,,,,20220929,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/oIZhFbLqLV.pdf,2,5.30000019,91,"1,13",,,18,69,POINT (12.579650508668696 55.68714796433994)
